"행정구역","2020년_거주자 인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율"
"서울특별시  (1100000000)","9,505,868","4,294,290","          2.21","4,623,790","4,882,078","          0.95"
"서울특별시 종로구 (1111000000)","144,017","70,734","          2.04","70,140","73,877","          0.95"
"서울특별시 종로구 청운효자동(1111051500)","12,057","5,098","          2.37","5,628","6,429","          0.88"
"서울특별시 종로구 사직동(1111053000)","9,080","4,431","          2.05","4,085","4,995","          0.82"
"서울특별시 종로구 삼청동(1111054000)","2,492","1,220","          2.04","1,211","1,281","          0.95"
"서울특별시 종로구 부암동(1111055000)","9,669","4,133","          2.34","4,617","5,052","          0.91"
"서울특별시 종로구 평창동(1111056000)","17,918","7,217","          2.48","8,355","9,563","          0.87"
"서울특별시 종로구 무악동(1111057000)","8,329","3,033","          2.75","3,880","4,449","          0.87"
"서울특별시 종로구 교남동(1111058000)","10,218","4,397","          2.32","4,750","5,468","          0.87"
"서울특별시 종로구 가회동(1111060000)","4,120","1,909","          2.16","1,918","2,202","          0.87"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,535","4,656","          1.40","3,998","2,537","          1.58"
"서울특별시 종로구 종로5.6가동(1111063000)","5,050","3,255","          1.55","2,722","2,328","          1.17"
"서울특별시 종로구 이화동(1111064000)","7,285","4,186","          1.74","3,431","3,854","          0.89"
"서울특별시 종로구 혜화동(1111065000)","16,409","9,051","          1.81","7,923","8,486","          0.93"
"서울특별시 종로구 창신제1동(1111067000)","4,821","2,676","          1.80","2,595","2,226","          1.17"
"서울특별시 종로구 창신제2동(1111068000)","8,062","3,964","          2.03","4,148","3,914","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,762","2,776","          2.44","3,312","3,450","          0.96"
"서울특별시 종로구 숭인제1동(1111070000)","5,929","2,918","          2.03","2,879","3,050","          0.94"
"서울특별시 종로구 숭인제2동(1111071000)","9,281","5,814","          1.60","4,688","4,593","          1.02"
"서울특별시 중구 (1114000000)","121,113","60,310","          2.01","59,236","61,877","          0.96"
"서울특별시 중구 소공동(1114052000)","1,984","1,057","          1.88","986","998","          0.99"
"서울특별시 중구 회현동(1114054000)","4,532","2,498","          1.81","2,395","2,137","          1.12"
"서울특별시 중구 명동(1114055000)","2,673","1,354","          1.97","1,142","1,531","          0.75"
"서울특별시 중구 필동(1114057000)","3,808","2,242","          1.70","1,998","1,810","          1.10"
"서울특별시 중구 장충동(1114058000)","4,534","2,655","          1.71","2,295","2,239","          1.03"
"서울특별시 중구 광희동(1114059000)","4,906","3,029","          1.62","2,554","2,352","          1.09"
"서울특별시 중구 을지로동(1114060500)","1,646","1,217","          1.35","1,002","644","          1.56"
"서울특별시 중구 신당동(1114061500)","7,461","4,427","          1.69","3,732","3,729","          1.00"
"서울특별시 중구 다산동(1114062500)","13,905","6,710","          2.07","6,763","7,142","          0.95"
"서울특별시 중구 약수동(1114063500)","16,736","7,498","          2.23","7,891","8,845","          0.89"
"서울특별시 중구 청구동(1114064500)","13,751","6,182","          2.22","6,520","7,231","          0.90"
"서울특별시 중구 신당제5동(1114065000)","10,290","5,188","          1.98","5,012","5,278","          0.95"
"서울특별시 중구 동화동(1114066500)","10,430","3,996","          2.61","5,049","5,381","          0.94"
"서울특별시 중구 황학동(1114067000)","12,289","6,694","          1.84","5,846","6,443","          0.91"
"서울특별시 중구 중림동(1114068000)","12,168","5,563","          2.19","6,051","6,117","          0.99"
"서울특별시 용산구 (1117000000)","220,116","105,562","          2.09","106,437","113,679","          0.94"
"서울특별시 용산구 후암동(1117051000)","16,977","8,131","          2.09","8,280","8,697","          0.95"
"서울특별시 용산구 용산2가동(1117052000)","9,527","5,031","          1.89","4,614","4,913","          0.94"
"서울특별시 용산구 남영동(1117053000)","7,007","4,839","          1.45","4,273","2,734","          1.56"
